Ward number ,Ward Name,Number of Connections,Consumption in ML,avg_household_size,income_level,water_efficiency
1,Kempegowda Ward,4247,114.25,5,Middle,0.78
2,Chowdeshwari Ward,463,23.62,6,High,0.67
3,Attur,6278,173.1,4,Middle,0.98
4,Yelahanka Satellite town,7750,390.73,6,Middle,0.77
5,Jakkur,3846,106.07,6,High,0.53
6,Thanisandra,3715,53.84,3,Low,0.82
7,Byatarayanapura,9705,285.71,4,Low,0.79
8,Kodigehalli,5392,127.78,4,Low,0.95
9,Vidyaranyapura,12962,390.23,4,Low,0.83
10,Doddabommasandra,1842,27.62,6,High,0.67
11,Kuvempunagar,4462,60.42,5,High,0.98
12,Shettyhalli,8074,136.85,4,High,0.9
13,Mallasandra,4524,72.75,6,Middle,0.82
14,Bagalagunte,8785,225.54,3,High,0.65
14,sidedahalli,1569,40.96,5,Low,0.69
15,T. Dasarahalli,4582,145.97,3,Middle,0.83
16,Jalahalli,3107,91.56,5,Low,0.54
17,J.P.Park,5739,129.52,6,Low,0.63
18,Radhakrishna Temple Ward,5517,97.96,2,High,0.86
19,Sanjaynagar,5815,86.78,5,High,0.74
20,Ganganagar,3332,69.12,3,Low,0.7
21,Hebbal,7468,158.48,6,Low,0.58
22,VishwanathNagenahalli,3283,75.76,5,Middle,0.72
23,Nagavara,9071,190.71,2,High,0.89
24,HBR Layout,8157,240.06,2,Middle,0.63
25,Horamavu,11232,156.55,4,Middle,0.5
26,Ramamurthynagar,9483,264.97,4,Middle,0.83
27,Banasawadi,9624,277.0,3,Low,0.99
28,Kammanahalli,6633,179.32,5,Middle,0.8
29,Kacharakanahalli,4869,129.55,5,Middle,0.56
30,Kadugondanahalli,5131,132.02,4,Low,0.66
31,Kushalnagar,3147,56.33,5,High,0.93
32,Kavalbyrasandra,5578,104.02,5,High,0.62
33,Manorayanapalya,2682,59.74,2,Middle,0.8
34,Gangenahalli,2321,47.17,4,Low,0.7
35,Aramane Nagar,2967,82.07,6,High,0.6
36,Mathikere,4142,85.1,4,Middle,0.91
